iter	Passed	Remaining
483	592	632
484	593	630
485	594	629
486	595	627
487	596	626
488	597	624
489	599	623
490	600	622
491	600	620
492	601	618
493	602	617
494	603	615
495	604	614
496	605	612
497	605	610
498	606	609
499	608	608
500	609	606
501	610	605
502	611	603
503	611	602
504	613	601
505	614	599
506	615	598
507	616	596
508	617	595
509	618	593
510	618	592
511	619	590
512	620	589
513	621	587
514	622	586
515	624	585
516	625	584
517	626	583
518	627	581
519	628	580
520	629	578
521	630	577
522	631	575
523	632	574
524	633	572
525	634	571
526	634	569
527	635	568
528	636	566
529	638	566
530	639	564
531	640	563
532	641	561
533	642	560
534	643	559
535	644	557
536	646	557
537	646	555
538	647	554
539	648	552
540	649	551
541	650	549
542	651	548
543	652	547
544	654	546
545	655	544
546	656	543
547	657	541
548	657	540
549	658	539
550	659	537
551	660	536
552	661	534
553	662	533
554	662	531
555	663	530
556	664	528
557	665	527
558	666	525
559	667	524
560	668	523
561	669	522
562	670	520
563	671	519
564	672	517
565	673	516
566	674	515
567	675	513
568	675	511
569	676	510
570	677	508
571	678	507
572	678	505
573	679	504
574	680	502
575	681	501
576	681	499
577	683	498
578	684	497
579	685	496
580	686	495
581	687	493
582	688	492
583	688	490
584	689	489
585	690	487
586	691	486
587	692	485
588	693	483
589	693	482
590	694	480
591	695	479
592	696	478
593	697	476
594	698	475
595	699	474
596	700	472
597	701	471
598	702	470
599	703	468
600	703	467
601	704	465
602	705	464
603	706	463
604	707	461
605	708	460
606	709	459
607	710	458
608	711	457
609	713	456
610	714	454
611	715	453
612	716	452
613	717	451
614	718	449
615	719	448
616	720	447
617	721	446
618	722	444
619	723	443
620	724	442
621	725	440
622	726	439
623	727	438
624	728	437
625	729	435
626	730	434
627	731	433
628	732	431
629	733	430
630	734	429
631	735	428
632	736	426
633	737	425
634	738	424
635	739	423
636	740	421
637	741	420
638	742	419
639	743	418
640	745	417
641	745	415
642	746	414
643	747	413
644	748	412
645	749	410
646	750	409
647	751	408
648	752	406
649	753	405
650	754	404
651	755	403
652	757	402
653	758	401
654	759	400
655	760	398
656	761	397
657	762	396
658	763	395
659	764	393
660	765	392
661	765	390
662	766	389
663	767	388
664	767	386
665	768	385
666	769	384
667	770	382
668	770	381
669	772	380
670	773	379
671	773	377
672	774	376
673	775	375
674	776	373
675	776	372
676	777	371
677	778	369
678	779	368
679	779	367
680	780	365
681	781	364
682	782	363
683	783	361
684	783	360
685	784	359
686	785	357
687	786	356
688	787	355
689	788	354
690	788	352
691	789	351
692	790	350
693	791	348
694	791	347
695	792	346
696	793	345
697	794	343
698	795	342
699	795	341
700	796	339
701	797	338
702	798	337
703	799	335
704	799	334
705	800	333
706	801	332
707	802	331
708	803	329
709	804	328
710	805	327
711	806	326
712	807	325
713	808	323
714	809	322
715	810	321
716	811	320
717	811	318
718	813	317
719	814	316
720	814	315
721	816	314
722	817	313
723	817	311
724	819	310
725	820	309
726	821	308
727	821	307
728	822	305
729	823	304
730	823	303
731	824	301
732	825	300
733	826	299
734	827	298
735	828	297
736	828	295
737	829	294
738	830	293
739	831	292
740	831	290
741	832	289
742	833	288
743	834	286
744	834	285
745	835	284
746	836	283
747	837	281
748	837	280
749	838	279
750	839	278
751	840	277
752	841	276
753	842	274
754	842	273
755	843	272
756	844	270
757	844	269
758	845	268
759	846	267
760	847	266
761	848	264
762	848	263
763	849	262
764	850	261
765	850	259
766	851	258
767	852	257
768	852	256
769	853	255
770	854	253
771	855	252
772	855	251
773	856	250
774	857	248
775	857	247
776	858	246
777	859	245
778	859	243
779	860	242
780	861	241
781	863	240
782	863	239
783	864	238
784	865	237
785	866	235
786	867	234
787	868	233
788	868	232
789	869	231
790	870	229
791	871	228
792	872	227
793	873	226
794	874	225
795	874	224
796	875	222
797	876	221
798	877	220
799	878	219
800	879	218
801	880	217
802	881	216
803	882	215
804	883	213
805	884	212
806	885	211
807	886	210
808	886	209
809	887	208
810	888	207
811	889	205
812	890	204
813	891	203
814	893	202
815	894	201
816	895	200
817	896	199
818	897	198
819	898	197
820	899	196
821	900	195
822	901	193
823	902	192
824	903	191
825	904	190
826	905	189
827	907	188
828	908	187
829	909	186
830	910	185
831	911	184
832	912	183
833	914	181
834	915	180
835	916	179
836	917	178
837	918	177
838	919	176
839	920	175
840	921	174
841	924	173
842	926	172
843	927	171
844	928	170
845	929	169
846	931	168
847	931	167
848	932	165
849	933	164
850	934	163
851	935	162
852	935	161
853	937	160
854	938	159
855	939	157
856	940	156
857	941	155
858	943	154
859	945	153
860	946	152
861	947	151
862	948	150
863	949	149
864	950	148
865	951	147
866	952	146
867	953	144
868	954	143
869	956	142
870	957	141
871	958	140
872	959	139
873	960	138
874	961	137
875	962	136
876	963	135
877	964	134
878	965	132
879	967	131
880	968	130
881	969	129
882	972	128
883	973	127
884	974	126
885	975	125
886	976	124
887	977	123
888	978	122
889	979	121
890	980	119
891	981	118
892	982	117
893	983	116
894	984	115
895	987	114
896	988	113
897	989	112
898	990	111
899	991	110
900	992	109
901	993	107
902	994	106
903	995	105
904	996	104
905	998	103
906	999	102
907	1001	101
908	1002	100
909	1004	99
910	1005	98
911	1006	97
912	1006	95
913	1007	94
914	1008	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1014	88
920	1015	87
921	1016	86
922	1017	84
923	1018	83
924	1019	82
925	1020	81
926	1021	80
927	1022	79
928	1023	78
929	1023	77
930	1024	75
931	1025	74
932	1026	73
933	1027	72
934	1029	71
935	1030	70
936	1031	69
937	1032	68
938	1033	67
939	1034	66
940	1035	64
941	1036	63
942	1036	62
943	1037	61
944	1038	60
945	1039	59
946	1040	58
947	1042	57
948	1043	56
949	1044	54
950	1046	53
951	1047	52
952	1047	51
953	1049	50
954	1050	49
955	1050	48
956	1051	47
957	1052	46
958	1053	45
959	1054	43
960	1055	42
961	1056	41
962	1057	40
963	1058	39
964	1059	38
965	1060	37
966	1061	36
967	1062	35
968	1064	34
969	1065	32
970	1066	31
971	1067	30
972	1068	29
973	1069	28
974	1069	27
975	1070	26
976	1071	25
977	1072	24
978	1073	23
979	1074	21
980	1076	20
981	1077	19
982	1077	18
983	1078	17
984	1079	16
985	1080	15
986	1081	14
987	1082	13
988	1083	12
989	1084	10
990	1084	9
991	1085	8
992	1086	7
993	1087	6
994	1089	5
995	1090	4
996	1091	3
997	1092	2
998	1092	1
999	1093	0
